Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
411637,186,devin283,,"Whittier, CA, United States"
411637,186,andi225,,"Chesterfield, MO, United States"
411637,186,durwood553,,"Joelton, TN, United States"
411637,186,mike7906500,,"Lancaster, PA, United States"
411637,186,angela995,,"Toronto, Ontario, Canada"
411637,186,omar311,,"Cary, NC, United States"
411637,186,yogi951,,"Fremont, CA, United States"
411637,186,leah451,,", , United States"
411637,186,aaro445,,"Jyv\\u00e4skyl\\u00e4, , Finland"
411637,186,samar285,,"San Francisco, CA, United States"
411637,186,peter165,,"Edmonton, AB, Canada"
411637,186,karen5283881,,", , "
411637,186,sarahanne284,,"Portland, OR, United States"
411637,186,nullplu,,", , Germany"
411637,186,jordanliberma,,"San Diego, CA, United States"
411715,27,mary801,,", California, United States"
411715,27,gogsro,,"Mountain View, CA, United States"
411715,27,rose164,,"Folsom, CA, United States"
411715,27,rachel992,,"Kyneton, Victoria, Australia"
411715,27,evan441,,", , "
411715,27,suzy157,,", , "
411715,27,robert9289725,,", , "
411715,27,david505,,"Deerfield, NH, United States"
411715,27,henry107,,"Newberry, SC, United States"
411715,27,karen679,,"Clovis, CA, United States"
411715,27,neil10,,"Orlando, FL, United States"
411715,27,SyedImra,,"Regina, SK, Canada"
411715,27,ali955,,", Muscat, Oman"
411715,27,jerome505,,"Hafrsfjord, Rogaland, Norway"
411715,27,vera900,,"Powell River, BC, Canada"
411715,27,lori348,,"Chicago, IL, United States"
411715,27,kivaatconferece199,,", , Canada"
411715,27,tonje617,,"Molde, , Norway"
411715,27,anders514,,"Oslo, , Norway"
411715,27,bill178,,"Dallas, TX, United States"
411715,27,ariel615,,"Belmont, CA, United States"
411715,27,edmund,,"Portland, ME, United States"
411715,27,PreethaSrin,,"Katy, TX, United States"
411715,27,maninder489,,", , "
411715,27,KivaKa,,"Milpitas, CA, United States"
411715,27,jason258,,"Bridgeport, CT, United States"
411715,27,sander586,,"Groningen, , Netherlands"
411737,41,ken719,,"Adelaide, SA, Australia"
411737,41,gale219,,"Los Angeles, CA, United States"
411737,41,schul,,"Toronto, Ontario, Canada"
411737,41,jim344,,"Sidney, BC, Canada"
411737,41,marilyn879,,"Farmington, CT, United States"
411737,41,bobby423,,"Murfreesboro, TN, United States"
411737,41,gliderkin,,"Del Mar, CA, United States"
411737,41,duncan515,,"Hillsborough, CA, United States"
411737,41,darrel556,,"Sioux Falls, SD, United States"
411737,41,bellasgoodkarma815,,", , Australia"
411737,41,almuth794,,"Bremen, , Germany"
411737,41,vitalimager,,"Brussels, Ontario, Canada"
411737,41,kivaatconferece199,,", , Canada"
411737,41,robert693,,"Seattle, WA, United States"
411737,41,davidandbarbara388,,", , "
411737,41,colin6,,"Brisbane, QLD, Australia"
411737,41,lkb,,"Austin, Tx, United States"
411737,41,gracesteveandvincent295,,"Lakeland, FL, United States"
411737,41,cpaleadtro,,"Las Vegas, NV, United States"
411737,41,david5730623,,", , "
411737,41,sandeepsingh285,,"San francisco, CA, United States"
411737,41,sarah258,,"Toronto, Ontario, Canada"
411737,41,robby439,,", , "
411737,41,david507,,"London, England, United Kingdom"
411737,41,bixler219,,", , United States"
411737,41,elizabeth2102952,,", , "
411737,41,amirali540,,"DALLAS, TEXAS, United States"
411737,41,kerry450,,"Mt.Pleasant, , SC, United States"
411737,41,sarah8307902,,"Moncton, New Brunswick, Canada"
411737,41,iolair,,"Arlington, VA, United States"
411737,41,judy5475835,,", , "
411737,41,adrian177,,"Albuquerque, NM, United States"
411737,41,kathy769,,"Portland, OR, United States"
411737,41,john414,,", , "
411737,41,martin695,,"Las Cruces, NM, United States"
411737,41,veronica298,,"Lantana, FL, United States"
411737,41,mike970,,"Ardrossan, Alberta, Canada"
411737,41,deanna240,,"Victoria, British Columbia, Canada"
411737,41,amin383,,"Tehran, Tehran, Iran, Islamic Republic of"
411737,41,jerry733,,"Chicago, IL, United States"
411737,41,john954,,"Palatine, IL, United States"
412411,27,karin343,,"Lawton, Oklahoma, United States"
412411,27,trolltech446,,"Oslo, , Norway"
412411,27,kellen989,,", , "
412411,27,jangoyvaert,,", Phuket, Thailand"
412411,27,ellenk622,,"Hampton, VA, United States"
412411,27,hungrycactu,,", CA, United States"
412411,27,charles307,,"Lake Orion, MI, United States"
412411,27,pavel716,,"Prague, , Czech Republic"
412411,27,PreethaSrin,,"Katy, TX, United States"
412411,27,penny860,,"Austin, TX, United States"
412411,27,silyar,,", , United States"
412411,27,elizabeth520,,", , United States"
412411,27,michael349,,"New York, NY, United States"
412411,27,georgie460,,"Edmonton, Alberta, Canada"
412411,27,noa932,,"New York, NY, United States"
412411,27,barbara186,,"Normal, IL, United States"
412411,27,beverl,,"Vancouver, British Columbia, Canada"
412411,27,bob473,,"Dallas, , United States"
412411,27,rubenkwas,,"Enschede, Overijssel, Netherlands"
412411,27,gooddogg,,"Front Porch , , "
412411,27,TeamLOTU,,"LOTUS: Lend Out To Uplift Self-sufficiency, at Kiva.org, "
412411,27,r392,,"Bay Area, CA, United States"
412411,27,foreclosedjapa,,"Osaka, , Japan"
412411,27,shree805,,"LOTUS Team, Bay Area, CA, United States"
412411,27,lkb,,"Austin, Tx, United States"
412411,27,diane4238709,,", Alberta, Canada"
412411,27,jouko194,,"Taivassalo, Suomi, "
413865,14,gooddogg,,"Front Porch , , "
413865,14,shree805,,"LOTUS Team, Bay Area, CA, United States"
413865,14,sean463,,"Minot, North Dakota, United States"
413865,14,greatnorthernstaff756,,"Portland, OR, United States"
413865,14,diane356,,", Ontario, Canada"
413865,14,graeme940,,"Jan Juc, Victoria, Australia"
413865,14,jordan545,,"Parker, CO, United States"
413865,14,don611,,"Waxhaw, NC, United States"
413865,14,bennett886,,", , "
413865,14,shawna244,,"La Mesa, CA, United States"
413865,14,annmarie961,,"Woodstock, GA, United States"
413865,14,janette430,,"Nashua, NH, United States"
413865,14,santos398,,", NY, United States"
413865,14,steven406,,"Auburn, WA, United States"
414656,19,karen179,,"Scottsdale, AZ, United States"
414656,19,shree805,,"LOTUS Team, Bay Area, CA, United States"
414656,19,yasu804,,", , Japan"
414656,19,thomas708,,"Parker, Colorado, United States"
414656,19,nigel503,,"Kuala Lumpur, Selangor, Malaysia"
414656,19,lea907,,"Phoenix, Az, United States"
414656,19,dale271,,"Corrales, NM, United States"
414656,19,rhyan524,,", , "
414656,19,ashfaque949,,"Sunnyvale, CA, United States"
414656,19,david706,,"Edmond, Oklahoma, United States"
414656,19,nealkapu,,"Costa Mesa, CA, United States"
414656,19,juleebe,,", , Philippines"
414656,19,fabian785,,"Bonn, , Germany"
414656,19,lars226,,", , Germany"
414656,19,Marc,,"Winterthur, , Switzerland"
414656,19,sandy205,,", , "
414656,19,richard2768269,,"Swords, County Dublin, Ireland"
414656,19,damienlynch7,,"Kilworth, Co Cork, Ireland"
414656,19,pap,,"Grand Rapids, MI, United States"
414841,37,gooddogg,,"Front Porch , , "
414841,37,linda712,,"Salt Spring Island, BC, Canada"
414841,37,kari398,,", , "
414841,37,john239,,", , "
414841,37,allison112,,", , "
414841,37,kristia,,", , "
414841,37,anon1212,,", , "
414841,37,laurel874,,"Allegan, MI, United States"
414841,37,beth122,,"Dayton, Ohio, United States"
414841,37,cheryl831,,"Whitby, Ontario, Canada"
414841,37,mario954,,"Miami, FL, United States"
414841,37,michael296,,", , "
414841,37,dimitry564,,"Toronto, Ontario, Canada"
414841,37,carol929,,", , "
414841,37,ontimeairfilter,,"New York, NY, United States"
414841,37,alison651,,"Wyndham, New South Wales, Australia"
414841,37,ashley992,,"Austin, Texas, United States"
414841,37,barbara607,,"Haiku, HI, United States"
414841,37,maninder489,,", , "
414841,37,guido682,,"Lede, , Belgium"
414841,37,jeminandpooja795,,"Winston Salem, NC, United States"
414841,37,jean175,,"Southboro, MA, United States"
