Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Is_Fellow
416583,47,debra731,no
416583,47,gooddogg,no
416583,47,sandra532,no
416583,47,ashley718,no
416583,47,sara678,no
416583,47,jodie715,no
416583,47,wendolyn474,no
416583,47,david774,no
416583,47,sharon832,no
416583,47,melani549,no
416583,47,cecilia243,no
416583,47,aina495,no
416583,47,karen598,no
416583,47,kathryn624,no
416583,47,robin7835720,no
416583,47,lucy807,no
416583,47,christina825,no
416583,47,jody653,no
416583,47,aswathi410,no
416583,47,matt568,no
416583,47,gabriella579,no
416583,47,linda902,no
416583,47,martin805,no
416583,47,shirley488,no
416583,47,pat703,no
416583,47,daniele964,no
416583,47,enterldestode,no
416583,47,cynthia757,no
416583,47,michelle108,no
416583,47,michael546,no
416583,47,terri153,no
416583,47,gianfranco432,no
416695,184,hannele445,no
416695,184,judy349,no
416695,184,page139,no
416695,184,tim432,no
416695,184,bob473,no
416695,184,robert4276997,no
416695,184,rebecca349,no
416695,184,fredrik687,no
416695,184,peter3076579,no
416695,184,michel627,no
416695,184,tom325,no
416695,184,r392,no
416695,184,paulette359,no
416695,184,barry115,no
416695,184,jordi197,no
416695,184,michael1441241,no
416695,184,shivaniranja,no
416695,184,jacqui258,no
416695,184,marc163,no
416695,184,beth2565281,no
416695,184,elizabeth872,no
416695,184,leeann680,no
416695,184,stig147,no
416695,184,jean535,no
416695,184,emilye586,no
416695,184,bruce875,no
416695,184,lorraine528,no
416695,184,taylor273,no
416695,184,carrie132,no
416695,184,jaakko953,no
416695,184,collin564,no
416695,184,martina106,no
416695,184,florianfalc,no
416695,184,tonzijlstr,no
416695,184,vicki607,no
416695,184,peter968,no
416695,184,linda969,no
416695,184,suzanne467,no
416695,184,renee497,no
416695,184,anne300,no
416695,184,kim414,no
416695,184,marc407,no
416695,184,alejandro205,no
416695,184,sally543,no
416695,184,myrastevejohnson705,no
416695,184,fiorella586,no
416695,184,barbara561,no
416695,184,tarundeep304,no
416695,184,barrie732,no
416695,184,adair888,no
416695,184,shree805,no
416695,184,jikizizwe921,no
416695,184,roope535,no
416695,184,eugi,no
416695,184,gooddogg,no
416695,184,bento,no
416695,184,cameron250,no
416695,184,dragos,no
416695,184,menno164,no
416695,184,john2551713,no
416695,184,rob851,no
416695,184,marco799,no
416695,184,gia485,no
416695,184,jennie849,no
416695,184,carrie929,no
416695,184,peter3173417,no
416695,184,ian253,no
416695,184,thomas5185614,no
416695,184,kristen429,no
416695,184,thomasandstaci724,no
416695,184,michelle8328822,no
416695,184,jeanne5323396,no
416695,184,heather164,no
416695,184,kerry409,no
416695,184,trinitychurch957,no
416695,184,lisa6995127,no
416695,184,inmemoryof533,no
416695,184,rob903,no
416695,184,anne620,no
416695,184,galatea586,no
416695,184,judy859,no
416695,184,matthew125,no
416695,184,paul2487459,no
416695,184,cynthia891,no
416695,184,genekeena,no
416695,184,harpree,no
416695,184,richard806,no
416695,184,jennifer7556475,no
416695,184,anne930,no
416695,184,antti143,no
